station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40260,State/Lake,03/01/2011,9391.8,5316.3,3346.5,250663
40260,State/Lake,04/01/2011,8941.9,5415.8,3927.8,230570
40260,State/Lake,05/01/2011,9059.5,5187.3,4231.2,236385
40260,State/Lake,06/01/2011,9793.8,5967.8,5510.8,261378
40260,State/Lake,07/01/2011,10104.3,6639,5681.5,269370
40260,State/Lake,08/01/2011,10353.9,6121.8,5098.5,283021
40260,State/Lake,09/01/2011,10605.8,6386.3,4870.4,272619
40260,State/Lake,10/01/2011,10429.3,6254.4,4605.2,273314
40260,State/Lake,11/01/2011,9746.1,6331.8,3661.6,248304
40260,State/Lake,12/01/2011,8283.2,5036.4,3681.4,217536
40260,State/Lake,01/01/2012,9104.3,4603.8,3328,229573
40260,State/Lake,02/01/2012,9569.9,5029,3473.3,234977
40260,State/Lake,03/01/2012,10049.1,6406.4,4142,269681
40260,State/Lake,04/01/2012,9759.9,5519.8,4010.6,247089
40260,State/Lake,05/01/2012,9390.7,5964.5,4956.2,255234
40260,State/Lake,06/01/2012,10362.5,6718.2,5903.8,274819
40260,State/Lake,07/01/2012,10123.9,6938.5,5664.3,274341
40260,State/Lake,08/01/2012,10658.8,6866.5,5290.8,293782
40260,State/Lake,09/01/2012,10765.8,3805.4,3346,243654
40260,State/Lake,10/01/2012,10687,4432,3567,277798
40260,State/Lake,11/01/2012,9943.9,6420,3831.6,253660
40260,State/Lake,12/01/2012,8106.9,5478.6,3721.7,211860
40260,State/Lake,01/01/2013,8869.7,4508.5,3123.4,228785
40260,State/Lake,02/01/2013,9515.6,6624.3,4519,234884
40260,State/Lake,03/01/2013,8947.7,4014.2,2306.8,219506
40260,State/Lake,04/01/2013,9853.2,4468.5,3268,247717
40260,State/Lake,05/01/2013,9059.7,4133.5,3520.4,233449
40260,State/Lake,06/01/2013,9891.2,5970.6,5487.6,255114
40260,State/Lake,07/01/2013,10054.3,7109.5,6018.4,279725
40260,State/Lake,08/01/2013,10195.2,6531.8,5323.3,278246
40260,State/Lake,09/01/2013,11153.6,6534,5013.1,279287
40260,State/Lake,10/01/2013,11178.3,6503.3,5374.5,304611
40260,State/Lake,11/01/2013,10327.9,6200.2,4004.4,257581
40260,State/Lake,12/01/2013,8622.7,5638.3,3504.3,224655
40260,State/Lake,01/01/2014,8287.3,4445.3,3273,216467
40260,State/Lake,02/01/2014,9629.3,4794.8,3334,225101
40260,State/Lake,03/01/2014,10260,6204,3906.8,266014
40260,State/Lake,04/01/2014,10075.3,6258.8,4261.3,263736
40260,State/Lake,05/01/2014,9515.7,5920,4512,251990
40260,State/Lake,06/01/2014,9973,6574,5745.6,264457
40260,State/Lake,07/01/2014,10066.8,6918.3,6113.8,279712
40260,State/Lake,08/01/2014,9969,6626.6,5417.2,269567
40260,State/Lake,09/01/2014,10923,6444.8,4825.8,279292
40260,State/Lake,10/01/2014,10839.7,6952.3,5183.5,297857
40260,State/Lake,11/01/2014,10002.6,6192.8,4151.5,245923
40260,State/Lake,12/01/2014,8677.6,5638.3,3725.8,232090
40260,State/Lake,01/01/2015,8661.9,5091.8,3500.8,224862
40260,State/Lake,02/01/2015,9062.8,10204.5,3536.8,236221
40260,State/Lake,03/01/2015,9810.3,6909,3940,263163
